ID,SMILES,LOAEL [mg/kg_bw/day]
813,FC(F)(F)C(=CC(N(=O)=O)=C1N(C(C)C)C(C)C)C=C1N(=O)=O,1000
814,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,75
815,C1=CC(=C(C(=C1)Cl)C#N)Cl,2.5
816,C1C(O1)COC2=CC=CC=C2C3=CC=CC=C3,500
817,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,375
819,O=N(=O)C(C(=C1N(=O)=O)N(C(C)C)C(C)C)=CC(=C1)S(=O)(=O)N,36.86
821,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,757
822,CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,46
823,CCCN(CCCl)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],202.4
824,C1=CC=C(C=C1)C2=CC=CC=C2O,1000
826,O=C(N(C)C)Nc(cccc1C(F)(F)F)c1,15
830,C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,1
831,Clc1cc(Cl)cc(Cl)c1OCCN(CCC)C(=O)n2cncc2,7.5
833,CC1=CC(=C(C=C1NC(=O)C)NS(=O)(=O)C(F)(F)F)C,27.6
834,C(=C(I)I)(I)I,50
835,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,0.06
836,O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1,6.25
837,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C,24.5
839,CC1=CC2=C(C=C1)N=C3C(=N2)SC(=O)S3,7.5
841,CC(C)N(C(=O)CCl)c1ccccc1,23
842,CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,500
843,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,19.45
844,CN1CN(C(=S)SC1)C,30
845,ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C(#N))c2cccc(Oc3ccccc3)c2,75
847,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,0.2
848,CCOC(=O)CN1C2=C(C=CC=C2Cl)SC1=O,12.5
849,CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],29.4
850,C1=CC=C(C=C1)C(CCC2=CC=C(C=C2)Cl)(CN3C=NC=N3)C#N,40
851,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,15.9
852,CC1=C(C=CC=C1COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)C3=CC=CC=C3,5
854,C(=CC=C1)(C2=C1)NC(=N2)C(=CS3)N=C3,40
855,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],150
856,CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-],6.25
857,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,500
858,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,2.5
859,O=P(O)(O)CCCl,446
862,CN(C(=O)NC1=CC=C(C=C1)Br)OC,12.5
863,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,25
866,CC(C)(C)C1=NN=C(S1)N2C(CN(C2=O)C)O,50
867,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,1.7
868,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c2nc(OC)nc(C)n2,12.5
869,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,1.15
870,CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-],0.46
872,COc1c(Cl)ccc(Cl)c1C(=O)(O),115
