"","StaticF","SemiF","ECFP6","DFS8","ECFP6+ToxF"
"CHEMBL1909112",0.944579857731698,0.965781068778352,0.941026358201828,0.914352150284516,0.945967692835799
"CHEMBL1909159",0.895957526671606,0.914435950752423,0.90076871230199,0.914009821019222,0.908377569436546
"CHEMBL2114931",0.664495293648621,0.850098251664902,0.70744129785067,0.777962992498787,0.728343956502801
"CHEMBL1964102",0.757106231240309,0.765228542407313,0.809053624835748,0.749492275777192,0.814706186633561
"CHEMBL1614063",0.84182098918734,0.932236953499251,0.906272736749412,0.907317097707579,0.889177105841444
"CHEMBL1909135",0.880144936017478,0.825944294891802,0.869195081668747,0.766381703859759,0.840093275332917
"CHEMBL1909110",0.938358041346339,0.933860810500594,0.928670624999022,0.924548566485047,0.934947220044642
"CHEMBL1909200",0.977179311175157,0.946710463211502,0.877848754982642,0.896323997763899,0.871214503279464
"CHEMBL1909190",0.937204858610591,0.956054539344184,0.878620760235567,0.935123319885412,0.907418110084335
"CHEMBL1963693",0.736345445136244,0.731470135479626,0.715076348902899,0.70834733568517,0.715739488330261
"CHEMBL1963918",0.734629173906976,0.791642108599264,0.749716874194323,0.75551160107494,0.781659912055247
"CHEMBL1909094",0.929940863241258,0.938943675850791,0.922559896868197,0.903716149475372,0.942685675475531
"CHEMBL1963823",0.758876762884591,0.786348081698752,0.745011623949379,0.760509990528172,0.77736577985877
"CHEMBL2114932",0.491289100867482,0.501276796108138,0.576538293141693,0.510465506552041,0.587046802369516
"CHEMBL1909156",0.943590588155806,0.957717065070006,0.949582006039807,0.942162377264679,0.952310186261593
"CHEMBL1909132",0.776527294452296,0.812725812197869,0.778510026435864,0.742253256361464,0.779053236437479
"CHEMBL1909130",0.878792468427478,0.913320607478891,0.861939352401503,0.86280502980267,0.905815808779964
"CHEMBL3215029",0.841360925658188,0.905497620367346,0.818582240266529,0.865238521286958,0.86192198997805
"CHEMBL2114818",0.591734686792036,0.615940035568088,0.622607572725272,0.614257479957156,0.641996660477735
"CHEMBL1909107",0.825419657520211,0.854673076005696,0.719286202952339,0.877506834765762,0.785939916455704
"CHEMBL1963771",0.759663891986186,0.767963267094046,0.735990509425008,0.757538449615543,0.752585385479868
"CHEMBL1909180",0.798542603553802,0.903441893741446,0.837731740699266,0.798219321945526,0.877343254708876
"CHEMBL1963725",0.777166421383719,0.781706355812559,0.745706663203717,0.764177600319304,0.776260493119517
"CHEMBL1963741",0.737301231207827,0.744790002986701,0.718299161811552,0.736787966682327,0.750270069228443
"CHEMBL1909116",0.908402729162568,0.911405433312133,0.95200340420859,0.897155114167578,0.910037267848073
"CHEMBL1909109",0.942725742679146,0.945551655176593,0.940078121082958,0.947043580315175,0.945077015505465
"CHEMBL1963807",0.758510804911912,0.765205518853272,0.749615846204467,0.734604267382302,0.757023037647319
"CHEMBL1909158",0.84785765194397,0.854806455550675,0.774073673538358,0.86674563203895,0.750213443581836
"CHEMBL1963772",0.723649172741267,0.728472618566851,0.691411653349616,0.697737510402379,0.729090664343162
"CHEMBL1614302",0.63875676785531,0.85995035139285,0.849180185638979,0.894245398081567,0.775933202439775
"CHEMBL1909174",0.96006482172856,0.966712210879932,0.953733146720964,0.945203432134629,0.954807301813559
