training set:,,,,,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,logBB_svm,logBB_ann,HDon_N,XlogP,TPSA,RDF_PiChg_13,RDF_PiChg_33,RDF_PiChg_46,RDF_PiChg_58,RDF_TotChg_110,RDF_TotChg_121,RDF_SigEN_25,RDF_PiEN_37,RDF_PiEN_56,RDF_PiEN_93,RDF_Polariz_38
211,-0.222,-0.2822,-0.2648,-0.322,2,-0.128594,75.27,-0.044474,-0.001918,0.0422905,0,0,0,902.866,106.472,0,0,125.224
212,-0.137,-0.2091,-0.1971,-0.269,2,0.42437,75.27,-0.044445,-0.001917,0.0422762,0,0,0,973.551,106.471,0,0,197.9
213,0.04,0.0685,0.064,0.106,2,2.05625,75.27,-0.044442,-0.001917,0.0422747,0,0,0,1200.91,106.47,0,0,291.195
216,0.086,0.0344,0.034,0.115,2,2.08326,75.27,-0.044442,-0.001917,0.0422747,0,0,0,1145.03,106.47,0,0,300.411
221,-0.06,0.024,0.0996,0.0935,2,2.25238,58.2,-0.038695,-0.021519,0.0224055,0.0002827,0,0,1034.15,131.108,188.744,0,801.305
223,0.0667,0.1442,0.1137,0.141,1,2.23705,32.34,-0.013265,-9.36E-05,-0.000724,-0.000206,0,0,1163.5,88.2432,0.0078224,0,846.368
224,0,0.19,0.1983,0.145,1,2.46838,58.12,-0.021387,-0.004656,0.0355022,0.0100493,0,0,1632.45,219.123,75.8618,0,668.53
225,-0.658,-0.5551,-0.5269,-0.558,0,2.17257,70.5,-0.027142,-8.71E-06,0.0050169,-0.004882,0,0,1470.48,273.343,17.7706,0,579.256
226,-0.28,-0.6727,-0.6864,-0.635,1,2.64942,86.34,-0.318095,0.0145854,0.0045511,-0.00078,-0.07637,0.0398627,1830.79,328.26,96.5331,90.2766,1077.76
227,0.03,0.057,-0.1657,0.0535,0,-0.370884,51.21,-1.16652,0,0,0,0,0,85.9586,0,0,0,0
228,0.02,-0.3398,-0.3035,-0.247,0,-0.513384,20.23,0,0,0,0,0,0,0,0,0,0,0
230,-0.5317,0.0581,0.0976,0.0473,0,2.66606,37.3,-0.014985,0,0,0,0,0,604.244,0,0,0,107.158
232,-1.03,-0.8634,-0.8325,-1.09,5,3.76247,166.75,-0.07008,-0.022496,0.0254069,-0.021859,0.0454363,-0.022781,4187.43,502.187,178.996,156.223,2109.1
233,-1.6,-1.6836,-1.5344,-1.51,0,-3.88259,121.38,0,0,0,0,0,0,1350.21,32.937,0,0,145.317
234,0.11,0.0393,0.0569,0.098,0,0.79643,20.23,0,0,0,0,0,0,392.449,0,0,0,0
236,0.04,-0.1828,-0.1696,-0.236,2,0.573941,63.32,-0.01824,0,0.0001166,8.96E-05,0,0,930.195,19.4229,16.5107,0,358.295
242,-0.23,-0.2883,-0.2531,-0.207,0,-0.235987,20.23,-1.11E-05,0,0,0,0,0,35.5928,0.346774,0,0,0.0016696
243,-0.16,-0.077,-0.0513,0.0163,0,0.566656,20.23,0,0,0,0,0,0,254.346,0,0,0,20.4972
246,-0.023,-0.0915,-0.0601,0.061,0,0.807053,20.23,0,0,0,0,0,0,192.949,0,0,0,31.42
248,0.697,0.3432,0.3667,0.295,0,3.9921,20.23,-0.000108,0,0,0,0,0,751.502,73.0227,0,0,373.766
250,-0.77,-1.1433,-0.9764,-1.09,2,-1.7565,103.78,-0.014623,0,-0.000511,-0.000896,0,0,941.5,152.988,82.7508,0,235.588
251,0,0.4186,0.3937,0.505,0,3.24783,23.47,-0.000188,0,0,0,0,0,1700.43,73.0935,9.84895,0,1264.54
252,0.544,0.429,0.4159,0.53,0,3.71202,23.47,-0.000452,0,0,-3.02E-05,0,0,1685.17,73.2819,14.932,0.0046796,1361.72
254,-0.12,-0.0897,-0.0442,-0.00238,0,4.10327,40.46,-0.000508,-2.42E-06,0.0001694,-0.000278,0,0,1029.62,170.11,23.0581,15.5658,635.904
255,-1.165,-0.5697,-0.5394,-0.541,1,1.44314,72.72,-0.000342,0,0,0,0,0,1108.45,114.588,0.0021376,0,568.576
257,-1.1203,-0.4031,-0.3603,-0.413,0,2.2083,57.53,-0.015652,-4.74E-07,4.38E-05,0,0,0,848.394,133.535,0,0,165.237
258,-0.602,-0.2035,-0.2106,-0.18,3,0.419796,49.87,-0.011542,0,0,0,0,0,33.6015,0,0,0,0.0046547
259,-1.42,-1.5343,-1.6172,-1.71,2,-0.419818,84.93,-0.128736,-0.072043,-0.025753,0,0.0156337,-0.024585,724.163,13.1056,0.24885,59.3927,198.712
260,-0.275,-0.1241,-0.1336,-0.151,3,0.947777,49.87,-0.01152,0,0,0,0,0,68.9794,0.0031018,0,0,0.523297
261,-0.73,-0.9175,-0.8612,-0.961,2,4.26796,90.02,-0.318008,0.0014518,-0.055986,0.0002721,0.0167135,-0.005203,1187.08,315.151,128.178,78.9349,729.012
263,0.3,0.1723,0.146,0.342,1,4.00726,19.03,0.0006426,-4.75E-07,-0.000419,0,3.60E-05,0,1531.39,95.1917,9.34202,37.8597,1923.46
264,-0.12,-0.5112,-0.4702,-0.586,2,2.18289,87.84,-0.012835,3.35E-05,0.0002274,-0.000136,-0.031425,0.0046844,1067.99,37.35,37.8725,20.3164,837.665
266,-1.3,-0.8624,-0.7244,-0.94,2,3.62099,69.87,-0.022001,-0.002564,-0.045944,0.0005316,-0.030231,0.0708331,1762.37,251.827,215.962,36.5627,1029.34
