training set:,,,,,,,,,,,,,,
ordera,logBB_exp,logBB_mlr,HDon_N,XlogP,TPSA,Dipole,NAtoms,2DACorr_SigChg_9,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_TotChg_1,2DACorr_TotChg_11,2DACorr_PiEN_8,2DACorr_PiEN_10
260,-0.275,-0.0564,3,0.947777,49.87,3.71166,14,0,0,0,0.54095,0,0,0
261,-0.73,-0.4448,2,4.26796,90.02,6.87575,52,-0.003963,0.174038,-0.168937,1.16948,0.038748,623.142,445.93
263,0.3,0.6415,1,4.00726,19.03,2.40314,48,0.0854847,-0.001104,-0.003945,0.172347,0,79.4909,0
264,-0.12,-0.619,2,2.18289,87.84,14.414,47,0.0631022,0.003098,0.0002473,1.58248,0.52869,368.787,336.262
266,-1.3,-1.2123,2,3.62099,69.87,11.9621,60,0.291549,-0.141537,-0.160596,1.21805,0.172152,732.696,557.338
268,-1.12,-0.7795,1,1.15895,86.59,3.49653,42,0.0607583,-0.028991,0.0270834,1.36963,0.300863,152.085,406.529
270,0.375,0.3774,0,2.237,0,1.00E-09,7.00E+00,0,0,0,0.014551,0,0,0
271,0.548,0.6739,2,4.31763,29.26,3.2612,39,-0.009111,-0.00266,-0.004923,0.234276,0.0880006,184.743,46.7024
272,-1.89,-2.5231,3,-2.55433,219.93,10.565,53,-0.497098,-0.072713,-0.055573,2.60197,0.733888,1349.96,1093.72
274,0.18,0.6015,0,4.62611,40.62,5.32013,53,0.0062138,0.0301414,0.0443929,0.941254,0.0269797,415.32,106.917
277,1.44,0.8383,0,4.8406,9.72,0.275082,52,0.184866,-0.004644,-0.001628,0.500503,-0.053493,284.316,35.1081
279,-0.1603,0.2248,2,1.83007,43.95,6.02474,44,0.0403948,0,-0.00638,0.641377,0.0294696,167.679,0
281,0.6,0.3378,0,1.98746,0,3.14E-06,3,0,0,0,0.111755,0,0,0
285,0.2,0.1261,0,0,0,0,1.00E+00,0,0,0,0,0,0,0
286,-0.38,-0.4311,0,1.03991,53.01,10.2824,28,0.0195967,0.0049682,0.0590867,1.05226,0,5.18909,0
287,0.05,0.0793,0,2.66273,26.07,6.46206,28,0,0.0220593,-0.017902,0.663711,0,0,0
290,-1.17,-0.1841,3,1.20907,83.72,1.2878,27,-0.000876,0.0277943,0.0097029,0.740449,0,41.3011,0
291,0.23,0.5327,0,1.7292,0,9.01E-05,26,0,-2.88E-05,-2.04E-05,0.028662,0,31.5369,0
292,0.16,0.5982,0,3.33083,0,0.154248,21,0,1.13E-05,0,0.0205097,0,0,0
293,0.2575,0.5323,0,2.89366,0,0.153833,18,0,-0.000109,0,0.0210103,0,0,0
297,0.337,0.4667,0,2.4565,0,0.153826,15,0,-2.07E-05,0,0.021164,0,0,0
298,0.43,0.674,0,3.84569,0,0.10966,24,0,-4.72E-07,0,0.0277218,0,0,0
301,-0.03,-0.5858,0,-0.115002,43.6,6.45627,20,0,0,0,0.239619,0,0,0
302,0.53,0.495,0,2.93361,19.37,1.53877,39,0.0003707,-0.002955,-0.00184,0.346802,0,106.415,0
304,-0.575,-0.1844,2,-0.37192,43.32,4.8949,23,0,-0.004959,0.0097216,0.384692,0,16.0438,0
305,0.236,0.1391,0,1.11112,16.13,2.76818,26,0,-0.003736,0,0.240139,0,0,0
306,-0.06,0.1226,0,0.782112,16.13,2.28701,25,0,-0.003619,0,0.242983,0,0,0
307,-0.34,0.0839,1,0.533461,24.92,2.18114,22,0,-0.003619,0,0.249743,0,0,0
310,0,0.223,2,4.18428,52.05,3.17906,36,0.0513964,-4.88E-05,0.000134,0.278432,0.004863,321.98,93.0734
311,-0.04,-0.5801,4,-1.01353,77.29,4.42463,18,0,0.0105893,-0.068249,0.742178,0,0,0
313,-0.25,-0.1818,0,2.03473,63.91,5.67673,39,-0.068007,0.122282,-0.125525,1.11562,0,218.183,0
314,0.14,0.0193,1,4.22546,37.39,3.76221,54,0.0545482,-0.008419,0.0008997,0.604592,-0.088972,242.914,392.623
315,-1.54,-1.8559,6,0.735166,137.5,12.7136,36,-0.161735,-0.023229,-0.256816,1.84718,-0.749193,525.311,307.179
318,-0.82,-1.3252,6,-0.289318,137.5,11.2997,36,0.165387,-0.043147,-0.210166,1.8709,0.965594,226.634,256.109
319,-0.42,-0.0621,2,-0.491604,38.91,0.817906,16,0,0,0,0.286883,0,0,0
320,0.44,0.0833,1,2.88214,37.39,3.3664,48,0.0262929,-0.009852,0.0036791,0.569722,-0.06784,238.573,251.992
test set:,,,,,,,,,,,,,,
5,0.35,0.4656,0,3.10294,0,1.84483,11,0,0,0,0.299895,0,0,0
